,0
22182,"10617,8608,11728,9042,9062,18675,19264,19296,18655,21650,20387,10772,10582,14054,12856,20187,8845,270253,14236,15501,21585,19346,22144,13368,15555,15876,21537,9327,14325,20040,15522,15901,11724,8476,20242,9089,20372,16975,13411,10816,10870,22403,21607,10633,11848,20193,12877,19323,21611,8579,22301,17121,15913,10881,14187,14020,8487,16876"
14236,"8608,11728,9042,9062,18675,19264,19296,18655,20387,10772,10582,14054,12856,20187,20123,8845,22182,16281,15501,21585,17944,19346,22144,9117,13368,15555,15876,21537,9327,14325,20040,15522,11724,20372,16975,13411,10816,10870,22403,21607,10633,11848,12877,18265,19323,8579,22301,15913,14187"
16281,"11728,19264,19296,18655,20387,10772,12856,14236,15501,21585"
15501,"8608,11728,9042,9062,19264,19296,18655,20387,10772,14054,12856,20123,22182,14236,16281,21585,17944,22144,9117,13368,15555,15876,21537,9327,14325,20040"
21585,"8608,11728,9042,9062,19264,19296,18655,20387,10772,14054,12856,20187,22182,14236,16281,15501,17944,19346,22144,13368,15555,15876,21537,9327,14325,20040,15522,15901,11724,8476,20242,9089,20372,16975,13411,10816,10870,22403,21607,10633,11848,20193,12877,18265,19323,8499,21611,8579,22301,17121,15913,10881,14187,20051"
17944,"8608,11728,9062,19264,19296,18655,20387,10772,14054,12856,14236,15501,21585,19346"
19346,"8608,11728,9042,9062,19296,18655,20387,10772,14054,12856,22182,14236,21585,17944,13368,15555,21537,9327,14325,20040,15522,15901,11724,20372,21607,10633,19323,21611,8579,17121,14187,13985,14127,20404"
22144,"8608,9062,19264,19296,18655,20387,10772,14054,12856,20123,22182,14236,15501,21585,13368"
9117,"11728,9062,19296,18655,20387,10772,14054,12856,14236,15501"
13368,"8608,11728,9042,9062,19296,20387,10772,14054,12856,22182,14236,15501,21585,19346,22144,15555,15876,21537,9327,14325,20040,15522,15901,11724,20242,9089,20372,16975,13411,10816,10870,22403,21607,10633,11848,12877,19323,8499,8579,22301,15913,10881,14187,20051,12909"
15555,"9042,9062,19296,20387,14054,12856,22182,14236,15501,21585,19346,13368,15876,21537,9327,14325,20372,10870,22403,10633"
15876,"8608,9062,20387,14054,12856,22182,14236,15501,21585,13368,15555,21537,9327,14325,15522,20372,16975,10816,10870,22403,21607,10633,11848,20193,12877"
21537,"8608,9042,9062,20387,10772,14054,12856,20187,22182,14236,15501,21585,19346,13368,15555,15876,9327,14325,20040,15522,15901,11724,20242,9089,20372,13411,10816,10870,22403,21607,10633,11848,20193,12877,18265,19323,21611,8579,22301,17121,15913,10881,14187,20051,13362,16876,15403,13985,14127,20404,12909,15477,12466,14246,14244,16885,16925,19500,20224,16274,9269,18458,22361,22328,13324,20263,12514,15383,15388,11865,9069,19374,13399,13340,16959,16212,16951,15380"
9327,"8608,9042,20387,10772,14054,12856,22182,14236,15501,21585,19346,13368,15555,15876,21537,14325,20040,15522,15901,11724,8476,20242,9089,20372,16975,13411,10816,10870,22403,21607,10633,11848,20193,12877,18265,19323,8499,21611,8579,22301,17121,10881,14187,20051,14020,8487,16876,13985,14127,20404,14149,12909,15477,12466,14246,14244,16885,16925,19500,20224"
14325,"8608,9042,20387,10772,14054,12856,20187,22182,14236,15501,21585,19346,13368,15555,15876,21537,9327,20040,15522,15901,11724,8476,20242,9089,20372,16975,13411,10816,10870,22403,21607,10633,11848,20193,12877,18265,19323,8499,21611,8579,22301,17121,15913,10881,14187,20051,20073,13362,14020,8487,16876,15403,13985,14127,20404,14149,12909,15477,12466,14246,14244,16885,16925,19500,20224,16274,18458,20263,12514,15388,11865,13399,16959,16212,16951,22333,16178,16203,20217,10653,8942"
20040,"20387,14054,12856,22182,14236,15501,21585,19346,13368,21537,9327,14325,15522,11724"
15522,"8608,9042,10772,14054,12856,22182,14236,21585,19346,13368,15876,21537,9327,14325,20040,11724,20372,16975"
15901,"8608,9042,10772,14054,12856,22182,21585,19346,13368,21537,9327,14325,8476,20242,9089,20372"
11724,"9042,14054,22182,14236,21585,19346,13368,21537,9327,14325,20040,15522"
8476,"8608,12856,22182,21585,9327,14325,15901,20242,9089,20372"
20242,"8608,14054,12856,22182,21585,13368,21537,9327,14325,15901,8476,9089,20372"
9089,"8608,14054,12856,22182,21585,13368,21537,9327,14325,15901,8476,20242,20372,10633,8579,20404,20263,12514,15388,13399,16959,16212,16951"
20372,"8608,14054,12856,20187,22182,14236,21585,19346,13368,15555,15876,21537,9327,14325,15522,15901,8476,20242,9089,16975,13411,10816,10870,22403,21607,10633,11848,20193,18265,19323,8499,21611,8579,22301,17121,15913,10881,14187,20051,20073,13362,14020,8487,16876,15403,13985,14127,20404,14149,12909,15477,12466,14246,14244,16885,16925,19500,20224,16274,9269,18458,22328,13324,20263,12514,15383,15388,11865,9069,19374,13399,13340,16959,21484,16212,16951,15380,12879,22333,9121,15485,12803,16886,17125,18627,13418,16178,9163,19364,16219,17099,16203,20217,14152,18012,10653,8942"
16975,"8608,14054,12856,22182,14236,21585,13368,15876,9327,14325,15522,20372,13411"
13411,"8608,14054,12856,20187,22182,14236,21585,13368,21537,9327,14325,20372,16975,10816,10870,22403,21607,10633,20193,18265,19323,8499,21611,8579,22301,17121,15913,10881,14187,20051,20073,13362,14020,8487,16876,14127,20404,14149,12909,15477,12466,14246,16885,16925,19500,20224,13324,20263,15383,11865,9069,19374,13399,13340,16959"
10816,"14054,12856,20187,22182,14236,21585,13368,15876,21537,9327,14325,20372,13411,10870,22403,21607,10633,19323,21611,8579,22301,17121,15913,10881,14187,20051,15403,14127,12909,15477,12466,14246,16885,16925,19500,16274,9269,18458,22361,22328,13324,20263,12514,15383,15388"
10870,"14054,12856,22182,14236,21585,13368,15555,15876,21537,9327,14325,20372,13411,10816,22403,21607,10633,11848,20193,12877,19323,21611,8579,17121,15913,10881,14187,20051,14127,20404,14149,12909,15477,12466,14246,14244,16885,16925,19500,20224,16274,22361,22328,13324,20263,12514,15383,15388,11865,9069,19374,13399,13340"
22403,"14054,12856,22182,14236,21585,13368,15555,15876,21537,9327,14325,20372,13411,10816,10870,21607,10633,11848,20193,12877,18265,19323,8499,21611,8579,22301,17121,15913,10881,14187,20051,20404,12909,16885,19500,22328,20263,12514,15383,11865,19374,13399,21484"
21607,"14054,12856,22182,14236,21585,19346,13368,15876,21537,9327,14325,20372,13411,10816,10870,22403,10633,11848,20193,19323,8499,21611,8579,22301,17121,10881,14187,13985,14127,20404,14149"
10633,"14054,12856,20187,22182,14236,21585,19346,13368,15555,15876,21537,9327,14325,9089,20372,13411,10816,10870,22403,21607,11848,20193,12877,18265,19323,8499,21611,8579,22301,17121,15913,10881,14187,20051,20073,13362,14020,8487,16876,15403,13985,14127,20404,12909,12466,14246,14244,16885,16925,19500,16274,20263,15388,11865,13399,13340,16959,16212,16951,15380,12879"
11848,"14054,12856,22182,14236,21585,13368,15876,21537,9327,14325,20372,10870,22403,21607,10633,20193,12877,18265,19323"
20193,"14054,12856,22182,21585,15876,21537,9327,14325,20372,13411,10870,22403,21607,10633,11848,21611,8579,17121,15913,10881,8487,16876"
12877,"14054,12856,22182,14236,21585,13368,15876,21537,9327,14325,10870,22403,10633,11848,18265,19323"
18265,"12856,14236,21585,21537,9327,14325,20372,13411,22403,10633,11848,12877,19323,8499,21611,8579"
