,0
8608,"527776,747031,641423,665053,519082,669855,457279,298438,12454,364788,398778,887207,662973,646847,455524,660889,550235,464626,229954,214265,370535,236489,211855,440780,632172,349853,521637,414990,296597,249866,244497,351588,251721,308967,272485,288992,8917,24599,310519,232438,311158,247235,297499,303669,11718,297635,297433,18632,21431,24598,21646,210283,10656,47623,18389,9310,23911,20431,270253,8845,10617,10582,21650,18675,17944,20123,18655,11728,19264,22144,19296,9062,20387,15501,10772,9042,8476,20242,15901,15522,16975,15876,14054,20187,21585,14236,22182,19346,12856,13368,9327,13411,9089,21537,20372,14325"
15876,"9062,20387,15501,15522,16975,8608,14054,15555,12877,11848,21585,14236,22182,21607,12856,13368,9327,20193,10816,10870,22403,21537,10633,20372,14325"
14054,"47623,18389,20431,8845,10617,10582,18675,17944,20123,18655,11728,9117,19264,22144,19296,9062,20387,15501,10772,20040,11724,9042,20242,15901,15522,16975,8608,15876,15555,12877,11848,20187,21585,14236,22182,19346,21607,12856,13368,9327,20193,10816,10870,13411,22403,9089,21537,10633,20372,14325"
15555,"19296,9062,20387,15501,9042,15876,14054,21585,14236,22182,19346,12856,13368,9327,10870,22403,21537,10633,20372,14325"
12877,"15876,14054,11848,18265,21585,14236,22182,12856,13368,9327,10870,22403,21537,10633,19323,14325"
11848,"15876,14054,12877,18265,21585,14236,22182,21607,12856,13368,9327,20193,10870,22403,21537,10633,19323,20372,14325"
18265,"12877,11848,8499,21585,14236,12856,9327,13411,22403,21537,10633,19323,21611,20372,14325,8579"
8499,"18265,22301,21585,21607,13368,9327,17121,13411,22403,10633,19323,21611,20372,14325,8579"
22301,"8499,20187,21585,14236,22182,21607,13368,9327,10881,15913,10816,13411,22403,21537,10633,19323,20372,14325,8579"
20187,"47623,20431,8845,10617,10582,21650,18675,20123,18655,11728,19264,19296,9062,20387,10772,8608,14054,22301,21585,14236,22182,12856,10816,13411,21537,10633,20372,14325,8579"
21585,"16281,17944,18655,11728,19264,22144,19296,9062,20387,15501,10772,20040,11724,9042,8476,20242,15901,15522,16975,8608,15876,14054,15555,12877,11848,18265,8499,22301,20187,14236,22182,19346,21607,12856,13368,9327,20193,10881,17121,15913,10816,10870,13411,22403,9089,21537,10633,20051,19323,14187,21611,20372,14325,8579"
14236,"8845,10582,18675,16281,17944,20123,18655,11728,9117,19264,22144,19296,9062,20387,15501,10772,20040,11724,9042,15522,16975,8608,15876,14054,15555,12877,11848,18265,22301,20187,21585,22182,19346,21607,12856,13368,9327,15913,10816,10870,13411,22403,21537,10633,19323,14187,20372,14325,8579"
20073,"13362,12856,15913,13411,10633,19323,14187,20372,14325,8579"
22182,"270253,8845,10617,10582,21650,18675,18655,11728,19264,22144,19296,9062,20387,15501,10772,20040,11724,9042,8476,20242,15901,15522,16975,8608,15876,14054,15555,12877,11848,22301,20187,21585,14236,14020,8487,16876,19346,21607,12856,13368,9327,20193,10881,17121,15913,10816,10870,13411,22403,9089,21537,10633,19323,14187,21611,20372,14325,8579"
14020,"22182,8487,12856,9327,17121,13411,10633,20372,14325,8579"
8487,"22182,14020,16876,12856,9327,20193,17121,13411,10633,21611,20372,14325,8579"
16876,"22182,8487,13362,12856,9327,20193,17121,15403,13411,21537,10633,19323,21611,20372,14325,8579"
13362,"20073,16876,12856,10881,17121,15403,15913,13411,21537,10633,19323,14187,21611,20372,14325,8579"
19346,"17944,18655,11728,19296,9062,20387,10772,20040,11724,9042,15901,15522,8608,14054,15555,21585,14236,22182,13985,21607,12856,13368,14127,9327,17121,21537,20404,10633,19323,14187,21611,20372,14325,8579"
13985,"19346,21607,14127,9327,17121,21537,10633,19323,21611,20372,14325"
14149,"21607,14127,9327,17121,10870,13411,20404,19323,14187,20372,14325,8579,12909"
21607,"15876,14054,11848,8499,22301,21585,14236,22182,19346,13985,14149,12856,13368,14127,9327,20193,10881,17121,10816,10870,13411,22403,21537,20404,10633,19323,14187,21611,20372,14325,8579"
12856,"47623,18389,20431,270253,8845,10617,10582,18675,16281,17944,20123,18655,11728,9117,19264,22144,19296,9062,20387,15501,10772,20040,9042,8476,20242,15901,15522,16975,8608,15876,14054,15555,12877,11848,18265,20187,21585,14236,20073,22182,14020,8487,16876,13362,19346,21607,13368,9327,20193,10881,17121,15913,10816,10870,13411,22403,9089,21537,10633,20051,19323,14187,21611,20372,14325,8579,12909"
13368,"11728,22144,19296,9062,20387,15501,10772,20040,11724,9042,20242,15901,15522,16975,8608,15876,14054,15555,12877,11848,8499,22301,21585,14236,22182,19346,21607,12856,9327,10881,15913,10816,10870,13411,22403,9089,21537,10633,20051,19323,14187,20372,14325,8579,12909"
15477,"14246,14127,9327,10881,12466,10816,10870,13411,21537,20051,19323,14187,20372,14325,8579,12909"
14246,"15477,14244,14127,9327,10881,10816,10870,13411,21537,10633,20051,19323,14187,20372,14325,16885,8579,12909"
14244,"14246,14127,9327,10881,16925,10870,21537,10633,19323,21611,20372,14325,16885,8579,12909,19500"
20224,"14127,9327,10881,12466,10870,13411,21537,20372,14325,8579"
14127,"19346,13985,14149,21607,15477,14246,14244,20224,9327,10881,12466,17121,10816,10870,13411,21537,20404,10633,19323,14187,21611,20372,14325,16885,8579,12909,19500"
9327,"20387,15501,10772,20040,11724,9042,8476,20242,15901,15522,16975,8608,15876,14054,15555,12877,11848,18265,8499,22301,21585,14236,22182,14020,8487,16876,19346,13985,14149,21607,12856,13368,15477,14246,14244,20224,14127,20193,10881,12466,17121,10816,16925,10870,13411,22403,9089,21537,20404,10633,20051,19323,14187,21611,20372,14325,16885,8579,12909,19500"
20193,"15876,14054,11848,21585,22182,8487,16876,21607,12856,9327,10881,17121,15913,10870,13411,22403,21537,10633,21611,20372,14325,8579"
