,id,matches
81,38710,"63740,63741,63750,63751,63764,63765,63769,63770,63771,63792,63793,63801,63802,63803,63826,63827,63834,63835,63836,63841,63842,63843,63844,63848,63849,63850,63868,63869,63875,63876,63896,63953,63954,63955,63967,63968,63981,63982,63983,63989,63993,63994,64020,64021,64030,64031,64046,64047,64067,64068,64074,64075,64076,64086,64087,64103,64104,64107,64108,64128,64129,64130,215253,216055,221840,238180,238181,238182,238205,238206,238207,251485,251486,298793,298794,300429,300430,300442,300443,300444,296900,296901,296902,361758,361759,351679,351680,366705,366706,366628,386496,366629,403378,403379,423778,423779,423780,423786,423789,423790,464531,464532,464533,473921,473922,527017,518947,520591,520603,520604,520605,560929,742615"
82,37609,63709
83,37530,"63709,63710,63711,63712"
84,36185,"63709,63710,63711,63712,63727,63728,63739,63740,63741,63750,63751,63764,63765,63769,63770,63771,63792,63793,63801,63802,63803,63826,63834,63835,63836,63841,63842,63843,63844,63848,63849,63850,63868,63869,63875,63876,63877,63896,63897,63902,63903,63904,63912,63922,63923,63924,63953,63954,63955,63967,63981,63982,63983,63993,63994,64020,64021,64046,64047,64086,64087,64088,64103,64104,64107,64108,64128,64129,64130,64133,64134,215253,216055,238180,238181,238182,238205,238206,238207,251485,251486"
85,36179,"63709,63710,63740,63741,63769,63770,63834,63835,63841,63842"
86,38401,"63705,63709,63710,63711,63712,63764,63765,63803,63848,63849,63850,63868,63869,63875,63876,63877,63897,63902,63903"
87,38624,"63695,63696,63705,63709,63710,63711,63712,63771,63827,63834,63835,63836,63841,63842,63843,63844"
88,37101,"63694,63695,63696,63705,63709,63710,63711,63712,63727,63728,63739,63740"
89,38740,"63678,63679,63903"
90,37735,"63668,63669,63670,63675,63676,63677,63678,63679"
91,37601,"63646,63677,63678,63679,63705,63710,63711,63712"
92,36825,"63646,63741,63750,63751,63764"
93,37000,"63645,63646,63647,63648,63668,63669,63670,63675,63676,63677,63678,63679,63694,63695,63696,63705,63709,63710,63711,63712,63727,63728,63739,63740,63741,63750,63751,63764,63765,63769,63770,63771,63792,63793,63801,63802,63803,63826,63827,63841,63842,63843,63844,63848,63849,63850,63868,63869,63875,63876,63877,63896,63897,63902,63903,63904,63912,63922,63923,63924,63953,63954,63955,63967,63968,63981,63982,63983,63989,63993,63994,64020,64021,64030,64031,64046,64047,64067,64068,64074,64075,64076,64086,64087,64088,64103,64104,64107,64108,64128,64129,64130,64133,64134,215253,216055,238180,238181,238182,238205,238206,238207,251485,251486,298793,298794,300429,300430,300442,300443,300444"
94,37237,"63635,63636,63645,63646,63647,63648,63668,63669,63670,63675,63676,63677,63694,63696"
95,38929,"63623,63634,63635,63636,63645,63646,63647,63648,63668,63669,63670,63675,63676,63677,63678,63679,63694,63705,63727,63728,63739,63740,63741,63750,63751,63769,63770,63771,63792,63793,63801,63802,63803,63835,63836"
96,36826,"63622,63623,63634,63635,63668"
97,38127,"63621,63622,63623,63634,63635,63647,63739,63740,63741,63750,63751,63764,63765,63769,63770"
98,38708,"63595,63711,63712,63727,63728,63739"
99,38066,"63595,63596,63597,63601,63602,63634,63647,63648"
100,37232,"63595,63596,63597,63603,63622,63711,63712,63727,63728,63764,63765,63769,63801,63802,63834,63835,63836,63843,63850,63983,63989,63993,63994"
101,38008,"63585,63595,63645,63646,63647,63648,63668,63675,63677,63678,63694,63695,63696,63705,63792,63793,63826,63827,63834,63835,63836,63841,63842,63843,63844,63848,63849,63850,63868,63869,63897,63953"
102,37241,"63584,63585,63695,63696"
103,36835,"63584,63622,63623,63634,63635,63636,63668,63669,63670,63675,63676,63727,63728,63739,63740,63741,63750,63751,63769,63770,63771,63792,63793,63801,63826,63827,63834,63835,63836,63841,63875,63876"
104,37602,"63573,63584,63585,63597"
105,38409,"63572,63573,63584,63585,63595,63596,63597,63601,63603,63621,63622,63676,63679"
106,37235,"63571,63572,63573,63595,63596,63597,63636,63645,63646"
107,38749,"63537,63538"
108,38133,"63537,63538,63539,63549,63550,63571,63596,63636,63645,63647,63648,63669,63670,63679"
109,36308,"63537,63538,63539,63549,63596,63923,63924"
