player,id,matches
98,14236,"63889,63933,63961,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64000,64009,64010,64013,64032,64052,64053,64056,64077,64078,64079,64080,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,225443,226350,226351,239025,238186,238187,225264,225265,225266,225255,225256,225257,225258,249222,249223,249224,249225,258459,258462,291222,291224,300442"
99,20073,"63883,63884"
100,22182,"63860,63861,63863,63864,63889,63890,63891,63892,63918,63932,63933,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64000,64009,64010,64011,64012,64013,64032,64033,64038,64039,64040,64041,64042,64052,64053,64056,64057,64058,64077,64078,64079,64080,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,226350,226351,258460,258461,258462,258468,258469,258470,291222,291223,291224,300442,300443,300444,296900,296901,296902,296909,296910,296911"
101,14020,63860
102,8487,"63860,63861,63862,63863,63864"
103,16876,"63844,63862,63864"
104,13362,"63844,63883,63884,63888"
105,19346,"63841,63842,63843,64052,64053,64056,64057,64058,64077,64078,64079,225257,225258,249225,249226"
106,13985,"63841,63842"
107,14149,"63817,63818"
108,21607,"63815,63818,63841,63938,63939,63991,63992,63999,64000,64011"
109,12856,"63807,63808,63860,63861,63862,63863,63883,63884,63888,63961,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64038,64039,64040,64041,64042,64056,64057,64058,64077,64078,64079,64080,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,209929,210366,213856,215010,215686,216994,218383,221840,225443,226350,226351,239025,238186,238187,225264,225265,225266,249222,249223,249224,249225,249226,296910,296911,296912,361050,361051,352661,352662,390680,345970,345971,345972,345974"
110,13368,"63806,63899,63900,63901,63916,63917,63918,63936,63962,63963,63981,63982,63983,63991,63992,63997,63999,64000,64009,64032,64033,64038,64039,64040,64042,64052,64053,64056,64057,64058,64077,64078,64079,64086,64087,64088,64093,64094,64095,64096,64116,64117,64118,64119,64120,213856,215010,215686,216994,218383,225443,226350,249222,249223"
111,15477,"63805,63809"
112,14246,"63758,63809"
113,14244,"63758,63759,63783,63784"
114,20224,63757
115,14127,"63756,63757,63758,63783,63784,63785,63786,63787,63788,63805,63816,63817,63818,63842,63843"
116,9327,"63754,63755,63756,63757,63759,63783,63785,63786,63787,63788,63804,63807,63808,63809,63814,63815,63816,63817,63818,63841,63842,63843,63860,63861,63862,63863,63864,63936,63937,63938,63939,63940,63961,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64000,64009,64010,64011,64012,64013,64032,64033,64038,64039,64040,64041,64042,64052,64053,64056,64057,64058,64077,64078,64079,64080,64086,64087,64088,64116,64117"
117,20193,"63734,63861,63862,63863,63864,64011"
118,10881,"63718,63734,63735,63740,63741,63754,63755,63756,63757,63758,63786,63804,63805,63806,63814,63888,63890,63916,63917,63918,63938"
119,9269,63716
120,12466,"63715,63716,63754,63755,63756,63757,63804,63805"
121,18458,"63713,63715"
122,17121,"63713,63714,63715,63716,63717,63718,63734,63735,63739,63814,63815,63816,63817,63841,63842,63844,63860,63864,63939"
123,15403,"63713,63714,63844"
124,22361,63689
125,22328,"63687,63688,63689,63704"
126,15913,"63687,63688,63713,63716,63717,63718,63734,63735,63739,63740,63741,63806,63883,63884,63888,63889,63933"
127,13324,"63686,63689,63703"
128,10816,"63685,63686,63687,63688,63689,63700,63701,63702,63703,63704,63713,63714,63715,63716,63717,63718,63739,63740,63741,63804,63805,63806,63807,63808,63809,63814,63815,63889,63890,63891,63892,63932,63933,63937,63990,63998,64000"
129,16925,"63684,63685,63686,63702,63703,63704,63714,63759"
