player,matches
21585,"225266,225264,225265,225256,225257,225258,225255,226351,225443,226350,213856,215010,215686,216994,218383,64096,209929,210366,64086,64087,64088,64093,64094,64095,64116,64117,64118,64119,64120,64080,64056,64057,64053,64052,64058,64041,64040,64042,64033,64032,64038,64039,64010,64011,64012,64013,64077,64078,64079,64009,63961,63962,63963,63981,63982,63983,63940,63936,63939,63932,63933,63937,63938,63890,63891,63892,63899,63900,63901,63916,63917,63918,63990,63991,63992,64000"
17944,"225264,225265,225256,225257,225258,249224,249225,249226"
19346,"225257,225258,249225,249226,64056,64057,64053,64052,64058,64077,64078,64079,63841,63842,63843"
22144,"238187,226351,225443,226350"
9117,239025
13368,"249222,249223,225443,226350,213856,215010,215686,216994,218383,64096,64086,64087,64088,64093,64094,64095,64116,64117,64118,64119,64120,64056,64057,64053,64052,64058,64040,64042,64033,64032,64038,64039,63999,64077,64078,64079,63997,64009,63962,63963,63981,63982,63983,63936,63899,63900,63901,63916,63917,63918,63991,63992,64000,63806"
15555,"213856,215010,215686,216994,209929,210366,64086,64093,64116,64117,64118,64120,64080,64077,64078,64079,63997,64009"
15876,"64096,64093,64094,64095,64118,64119,64120,64033,64032,63998,63999,64010,64011,64012,64013"
21537,"209929,210366,64086,64087,64088,64093,64094,64095,64116,64117,64118,64119,64120,64080,64056,64057,64053,64052,64058,64042,64077,64078,64079,63997,63961,63981,63982,63983,63932,63933,63937,63890,63891,63892,63899,63900,63901,63916,63917,63918,63990,63991,63992,63844,63841,63842,63843,63806,63805,63758,63759,63783,63784,63757,63756,63785,63786,63787,63788,63754,63755,63804,63814,63734,63718,63735,63740,63741,63716,63715,63713,63714,63717,63739,63689,63687,63688,63704,63686,63703,63685,63700,63701,63702,63684,63651,63650,63665,63666,63667,63663,63664,63612,63613,63611,63637,63638,63639,63640,63641"
9327,"64086,64087,64088,64116,64117,64080,64056,64057,64053,64052,64058,64041,64040,64042,64033,64032,64038,64039,63998,63999,64010,64011,64012,64013,64077,64078,64079,63997,64009,63961,63962,63963,63981,63982,63983,63940,63936,63939,63937,63938,63990,63991,63992,64000,63860,63861,63863,63864,63862,63841,63842,63843,63817,63818,63815,63807,63808,63809,63759,63783,63757,63756,63785,63786,63787,63788,63816,63754,63755,63804,63814"
14325,"64086,64080,64057,64053,64052,64058,64041,64040,64033,64032,64038,64039,63998,63999,64010,64011,64012,64013,64077,64078,64079,63997,64009,63961,63962,63963,63981,63982,63983,63940,63936,63939,63932,63890,63891,63892,63899,63900,63901,63916,63917,63918,63990,63991,63992,64000,63883,63884,63860,63861,63863,63864,63862,63844,63888,63841,63842,63817,63818,63815,63807,63808,63806,63805,63758,63759,63783,63784,63757,63756,63785,63786,63787,63788,63816,63754,63755,63804,63814,63734,63718,63735,63740,63741,63715,63713,63714,63717,63739,63612,63613,63611,63614,63526,63528,63529"
20040,"64087,64088,64053"
15522,"64056,64053,64033"
15901,"64057,64058,64041,64040"
11724,"64053,64052"
8476,64041
20242,"64041,64040,64042"
9089,"64041,64042,63612,63613"
20372,"64041,64040,64042,64033,64032,64038,64039,63998,63999,64010,64011,64013,63997,64009,63940,63936,63939,63932,63933,63937,63938,63890,63891,63892,63899,63900,63901,63916,63917,63918,63990,63991,63992,64000,63889,63883,63884,63860,63861,63863,63864,63862,63844,63888,63841,63842,63843,63817,63818,63815,63807,63808,63806,63805,63809,63758,63759,63783,63784,63757,63756,63785,63786,63787,63788,63816,63754,63755,63804,63814,63734,63718,63735,63740,63741,63716,63715,63714,63717,63739,63704,63686,63703,63685,63700,63701,63702,63684,63651,63649,63650,63648,63663,63664,63646,63647,63612,63613,63611,63637,63638,63639,63640,63641,63609,63610,63614,63599,63600,63598,63578,63579,63577,63576,63571,63572,63573,63561,63562,63575,63605,63544,63545,63546,63547,63533,63543,63526,63527,63528,63529,63531,63532"
