,0
14325,"63526,63528,63529,63611,63612,63613,63614,63713,63714,63715,63717,63718,63734,63735,63739,63740,63741,63754,63755,63756,63757,63758,63759,63783,63784,63785,63786,63787,63788,63804,63805,63806,63807,63808,63814,63815,63816,63817,63818,63841,63842,63844,63860,63861,63862,63863,63864,63883,63884,63888,63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63936,63939,63940,63961,63962,63963,63981,63982,63983,63990,63991,63992,63997,63998,63999,64000,64009,64010,64011,64012,64013,64032,64033,64038,64039,64040,64041,64052,64053,64057,64058,64077,64078,64079,64080,64086"
20359,63512
15380,"63512,63637,63638"
16885,"63511,63526,63527,63528,63529,63531,63532,63533,63534,63535,63536,63543,63544,63545,63546,63547,63557,63558,63576,63577,63579,63598,63599,63605,63614,63637,63646,63651,63664,63665,63666,63667,63684,63689,63701,63704,63754,63755,63758,63759"
8579,"63511,63512,63531,63532,63533,63534,63535,63536,63543,63544,63545,63546,63547,63557,63558,63559,63560,63561,63577,63578,63579,63600,63605,63609,63610,63611,63612,63613,63614,63637,63638,63639,63640,63641,63646,63647,63648,63649,63650,63651,63663,63664,63665,63666,63667,63684,63685,63686,63687,63688,63689,63700,63701,63702,63703,63704,63713,63714,63715,63716,63717,63718,63734,63735,63739,63740,63741,63754,63755,63756,63757,63758,63759,63783,63784,63785,63786,63787,63788,63804,63805,63806,63807,63808,63814,63815,63816,63817,63843,63844,63860,63861,63862,63863,63864,63883,63884,63888,63889,63890,63891,63892,63899,63900,63901,63916,63917,63918,63932,63933,63936,63937,63938,63939,63940"
12909,"63509,63510,63511,63526,63527,63534,63535,63536,63543,63544,63546,63614,63638,63639,63640,63641,63646,63647,63648,63649,63650,63665,63666,63667,63685,63686,63687,63688,63689,63700,63701,63704,63783,63784,63785,63786,63787,63788,63804,63805,63806,63807,63808,63809,63814,63817"
19500,"63489,63507,63508,63509,63510,63511,63512,63526,63527,63528,63529,63531,63532,63533,63534,63535,63536,63543,63544,63545,63557,63558,63559,63560,63562,63571,63572,63573,63575,63576,63577,63637,63638,63639,63640,63641,63687,63688,63689,63700,63701,63702,63703,63704,63713,63714,63715,63716,63717,63784,63785,63786,63787,63788"
18012,"63489,63507,63547"
16219,"63489,63559,63561,63562,63573"
9002,"63489,63507,63508,63509"
16951,"63488,63613,63614,63637"
8942,"63488,63527,63528,63529"
20263,"63487,63488,63489,63507,63508,63510,63511,63512,63526,63527,63528,63529,63531,63532,63533,63534,63535,63536,63543,63544,63545,63546,63547,63557,63558,63559,63561,63562,63571,63572,63573,63575,63576,63577,63578,63579,63598,63599,63600,63605,63609,63610,63611,63612,63613,63637,63638,63639,63640,63641,63646,63647,63648,63684,63685,63686,63687,63700,63701,63702,63703,63704"
10897,"63487,63488,63509,63510,63511"
10721,"63486,63488"
15485,"63477,63478,63484,63485,63508,63509,63598,63599,63605"
10653,"63463,63470,63471,63472,63476,63477,63478,63479,63486,63488,63512,63526,63527,63528,63529"
12803,"63461,63472,63478,63479,63531,63532,63533,63598,63599,63605"
22392,63446
19394,"63444,63445,63446,63447,63448,63463,63487,63488"
